,topic,v_lat,v_lon,Country,event_url,event_name,maxdist,mediandist,ID_event,date,venue_name,count_part
23,"Arts,Music,Languages",48.211933,16.333849,at,https://www.meetup.com/Vienna-House-Concerts/events/258653014/,Vienna House Concert #4: Paris! Incl. glass of champagne and snacks,7.0,7.0,258653014,Fri May  3 19:00:00 2019,Gaullachergasse 41,5
24,"Tech,Business,Education,Arts",48.190845,16.35986,at,https://www.meetup.com/Mensch-Technologie-Zukunft-Liechtenecker-Lab-Studio/events/258674167/,Liechtenecker Meetup #9,7.0,7.0,258674167,Wed Apr 24 18:00:00 2019,Liechtenecker - Lab & Studio for digital Innovation,4
25,"Fitness,Sports,Outdoors,Music,Games,Social,Food&Drink",48.224003,16.361877,at,https://www.meetup.com/Wien-Singles-ab40-Fun-Kennenlernen/events/258696838/,DIE VERR\u00dcCKTEN 50ER  - Eine Nostalgie Revue die Sie begeistern wird !,21.271018398967538,16.51401226597836,258696838,Tue Apr  2 19:15:00 2019,Theater-Center Forum,2
26,"Community,Business",48.219196,16.403343,at,https://www.meetup.com/Circular-Economy-Club/events/258727881/,Circular Economy Toolkit in Practice ,222.74252411128242,7.0,258727881,Thu Apr  4 18:30:00 2019,Fachhochschule des BFI Wien,4
27,Tech,48.222816,16.398554,at,https://www.meetup.com/Cloud-Native-Computing-Vienna/events/258813467/,cloud native computing machine learning day,7.0,7.0,258813467,Wed Apr 24 09:00:00 2019,A1 Telekom Austria AG,38
28,"Social,Well-being,Languages,Education,Food&Drink,Arts",48.19639,16.357789999999998,at,https://www.meetup.com/Wine-Comedy-Thirsty-for-a-Laugh/events/258843907/,Cockpit bar Comedy Showcase,7.0,7.0,258843907,Tue Apr 16 20:00:00 2019,Cockpit Bar,5
29,"Outdoors,Fitness,Social,Food&Drink,Films,Arts,Music",48.187374,16.405334,at,https://www.meetup.com/Wien-erleben/events/258926045/,"Herr Zettel ist verwirrt: Ein Sommernachtstraum / Niavarani, Kammerorchester",11.903034572279086,10.268689714852725,258926045,Thu May 30 19:30:00 2019,Globe Wien,2
30,"Food&Drink,Social,Arts",48.204231,16.35981,at,https://www.meetup.com/Vienna-Art-Wine-Friends/events/258931879/,Art Clubbing: Kunstschatzi,7.0,7.0,258931879,Tue Apr 23 19:00:00 2019,Kunsthistorisches Museum Wien,20
31,"Tech,Community,Well-being",48.211273,16.361794,at,https://www.meetup.com/Frugal-Academy/events/258985597/,Minimalism - Tell Your Story,7.0,7.0,258985597,Thu Apr 25 18:00:00 2019,Certible,4
32,Tech,48.24105,16.38634,at,https://www.meetup.com/dotnet-austria/events/258986168/,Visual Studio 2019 Launch Local Event,7.0,7.0,258986168,Tue Apr  2 17:30:00 2019,Tieto Austria GmbH,10
33,"Tech,Business",48.192005,16.33595,at,https://www.meetup.com/uxvienna/events/259017365/,UxWien Visual Prototyping Workshop (2 hours MVP version),7.0,7.0,259017365,Fri Apr 26 10:00:00 2019,STOCKWERK Coworking GmbH,12
34,"Tech,Business",52.430836,13.531867000000002,at,https://www.meetup.com/uxvienna/events/259036434/,UxWien goes Berlin to the awesome UXcamp Europe,652.1967859579088,437.1311906386058,259036434,Fri Jun  7 15:00:00 2019,Erwin Schr\u00f6dinger Center,2
35,"Outdoors,Fitness,Social,Food&Drink,Films,Arts,Music",48.180515,16.074904999999998,at,https://www.meetup.com/Wien-erleben/events/259058552/,Osterwanderung zur Quelle ohne die es Wien nicht g\u00e4be,7.0,7.0,259058552,Mon Apr 22 09:15:00 2019,Rechte Bahnstra\u00dfe 5,13
